Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1,47,D24HourMean,QuarterlyMean,Mean,1.5407
1,48,D24HourMean,QuarterlyMean,Mean,1.55231
1,49,D24HourMean,QuarterlyMean,Mean,1.56363
1,50,D24HourMean,QuarterlyMean,Mean,1.57788
1,51,D24HourMean,QuarterlyMean,Mean,1.59228
1,52,D24HourMean,QuarterlyMean,Mean,1.60664
1,53,D24HourMean,QuarterlyMean,Mean,1.61624
1,54,D24HourMean,QuarterlyMean,Mean,1.62883
1,55,D24HourMean,QuarterlyMean,Mean,1.62626
1,56,D24HourMean,QuarterlyMean,Mean,1.62827
1,57,D24HourMean,QuarterlyMean,Mean,1.62836
1,58,D24HourMean,QuarterlyMean,Mean,1.63036
1,59,D24HourMean,QuarterlyMean,Mean,1.63308
1,60,D24HourMean,QuarterlyMean,Mean,1.63485
1,61,D24HourMean,QuarterlyMean,Mean,1.63837
1,62,D24HourMean,QuarterlyMean,Mean,1.64462
1,63,D24HourMean,QuarterlyMean,Mean,1.65198
1,64,D24HourMean,QuarterlyMean,Mean,1.65861
1,65,D24HourMean,QuarterlyMean,Mean,1.66137
1,66,D24HourMean,QuarterlyMean,Mean,1.66417
1,67,D24HourMean,QuarterlyMean,Mean,1.64972
1,68,D24HourMean,QuarterlyMean,Mean,1.64767
1,69,D24HourMean,QuarterlyMean,Mean,1.64166
1,70,D24HourMean,QuarterlyMean,Mean,1.6329
1,71,D24HourMean,QuarterlyMean,Mean,1.6337
1,72,D24HourMean,QuarterlyMean,Mean,1.63764
1,73,D24HourMean,QuarterlyMean,Mean,1.63903
1,74,D24HourMean,QuarterlyMean,Mean,1.64103
1,75,D24HourMean,QuarterlyMean,Mean,1.64483
1,76,D24HourMean,QuarterlyMean,Mean,1.65112
1,77,D24HourMean,QuarterlyMean,Mean,1.65278
1,78,D24HourMean,QuarterlyMean,Mean,1.65294
1,79,D24HourMean,QuarterlyMean,Mean,1.66051
1,80,D24HourMean,QuarterlyMean,Mean,1.65175
1,81,D24HourMean,QuarterlyMean,Mean,1.64722
1,82,D24HourMean,QuarterlyMean,Mean,1.64841
1,83,D24HourMean,QuarterlyMean,Mean,1.64547
1,84,D24HourMean,QuarterlyMean,Mean,1.64293
1,85,D24HourMean,QuarterlyMean,Mean,1.64272
1,86,D24HourMean,QuarterlyMean,Mean,1.64395
1,87,D24HourMean,QuarterlyMean,Mean,1.63847
1,88,D24HourMean,QuarterlyMean,Mean,1.63209
1,89,D24HourMean,QuarterlyMean,Mean,1.62878
1,90,D24HourMean,QuarterlyMean,Mean,1.62219
1,91,D24HourMean,QuarterlyMean,Mean,1.61682
1,92,D24HourMean,QuarterlyMean,Mean,1.61515
1,93,D24HourMean,QuarterlyMean,Mean,1.61714
1,94,D24HourMean,QuarterlyMean,Mean,1.61951
1,95,D24HourMean,QuarterlyMean,Mean,1.62402
1,96,D24HourMean,QuarterlyMean,Mean,1.62135
1,97,D24HourMean,QuarterlyMean,Mean,1.62206
1,98,D24HourMean,QuarterlyMean,Mean,1.62094
1,99,D24HourMean,QuarterlyMean,Mean,1.61699
1,100,D24HourMean,QuarterlyMean,Mean,1.62018
1,101,D24HourMean,QuarterlyMean,Mean,1.62473
1,102,D24HourMean,QuarterlyMean,Mean,1.60897
1,103,D24HourMean,QuarterlyMean,Mean,1.59529
1,104,D24HourMean,QuarterlyMean,Mean,1.57983
1,105,D24HourMean,QuarterlyMean,Mean,1.57182
1,106,D24HourMean,QuarterlyMean,Mean,1.56521
1,107,D24HourMean,QuarterlyMean,Mean,1.55894
1,108,D24HourMean,QuarterlyMean,Mean,1.55092
1,109,D24HourMean,QuarterlyMean,Mean,1.54581
1,110,D24HourMean,QuarterlyMean,Mean,1.53257
1,111,D24HourMean,QuarterlyMean,Mean,1.51143
1,112,D24HourMean,QuarterlyMean,Mean,1.44947
2,1,D24HourMean,QuarterlyMean,Mean,1.00553
2,2,D24HourMean,QuarterlyMean,Mean,0.993116
2,3,D24HourMean,QuarterlyMean,Mean,0.985411
2,4,D24HourMean,QuarterlyMean,Mean,0.986173
2,5,D24HourMean,QuarterlyMean,Mean,0.983737
2,6,D24HourMean,QuarterlyMean,Mean,0.9878
2,7,D24HourMean,QuarterlyMean,Mean,0.99733
2,8,D24HourMean,QuarterlyMean,Mean,1.00944
2,9,D24HourMean,QuarterlyMean,Mean,1.02478
2,10,D24HourMean,QuarterlyMean,Mean,1.04217
2,11,D24HourMean,QuarterlyMean,Mean,1.06011
2,12,D24HourMean,QuarterlyMean,Mean,1.08048
2,13,D24HourMean,QuarterlyMean,Mean,1.10035
2,14,D24HourMean,QuarterlyMean,Mean,1.11911
2,15,D24HourMean,QuarterlyMean,Mean,1.13712
2,16,D24HourMean,QuarterlyMean,Mean,1.15101
2,17,D24HourMean,QuarterlyMean,Mean,1.16322
2,18,D24HourMean,QuarterlyMean,Mean,1.17147
2,19,D24HourMean,QuarterlyMean,Mean,1.17959
2,20,D24HourMean,QuarterlyMean,Mean,1.18909
2,21,D24HourMean,QuarterlyMean,Mean,1.2004
2,22,D24HourMean,QuarterlyMean,Mean,1.21062
2,23,D24HourMean,QuarterlyMean,Mean,1.22234
2,24,D24HourMean,QuarterlyMean,Mean,1.23104
2,25,D24HourMean,QuarterlyMean,Mean,1.23893
2,26,D24HourMean,QuarterlyMean,Mean,1.24631
2,27,D24HourMean,QuarterlyMean,Mean,1.2559
2,28,D24HourMean,QuarterlyMean,Mean,1.26925
2,29,D24HourMean,QuarterlyMean,Mean,1.28602
2,30,D24HourMean,QuarterlyMean,Mean,1.30204
2,31,D24HourMean,QuarterlyMean,Mean,1.31608
2,32,D24HourMean,QuarterlyMean,Mean,1.32644
2,33,D24HourMean,QuarterlyMean,Mean,1.33772
2,34,D24HourMean,QuarterlyMean,Mean,1.34816
2,35,D24HourMean,QuarterlyMean,Mean,1.35716
2,36,D24HourMean,QuarterlyMean,Mean,1.37149
2,37,D24HourMean,QuarterlyMean,Mean,1.39083
2,38,D24HourMean,QuarterlyMean,Mean,1.40777
2,39,D24HourMean,QuarterlyMean,Mean,1.42336
2,40,D24HourMean,QuarterlyMean,Mean,1.44273
2,41,D24HourMean,QuarterlyMean,Mean,1.46023
2,42,D24HourMean,QuarterlyMean,Mean,1.47844
2,43,D24HourMean,QuarterlyMean,Mean,1.4937
2,44,D24HourMean,QuarterlyMean,Mean,1.50683
2,45,D24HourMean,QuarterlyMean,Mean,1.5196
2,46,D24HourMean,QuarterlyMean,Mean,1.52517
2,47,D24HourMean,QuarterlyMean,Mean,1.52381
2,48,D24HourMean,QuarterlyMean,Mean,1.53402
2,49,D24HourMean,QuarterlyMean,Mean,1.54305
2,50,D24HourMean,QuarterlyMean,Mean,1.55576
2,51,D24HourMean,QuarterlyMean,Mean,1.57148
2,52,D24HourMean,QuarterlyMean,Mean,1.59037
2,53,D24HourMean,QuarterlyMean,Mean,1.6039
2,54,D24HourMean,QuarterlyMean,Mean,1.60802
2,55,D24HourMean,QuarterlyMean,Mean,1.60736
2,56,D24HourMean,QuarterlyMean,Mean,1.61669
2,57,D24HourMean,QuarterlyMean,Mean,1.62302
2,58,D24HourMean,QuarterlyMean,Mean,1.63205
2,59,D24HourMean,QuarterlyMean,Mean,1.6357
2,60,D24HourMean,QuarterlyMean,Mean,1.63852
2,61,D24HourMean,QuarterlyMean,Mean,1.64662
2,62,D24HourMean,QuarterlyMean,Mean,1.65262
2,63,D24HourMean,QuarterlyMean,Mean,1.65976
2,64,D24HourMean,QuarterlyMean,Mean,1.66676
2,65,D24HourMean,QuarterlyMean,Mean,1.67348
2,66,D24HourMean,QuarterlyMean,Mean,1.67015
2,67,D24HourMean,QuarterlyMean,Mean,1.65588
2,68,D24HourMean,QuarterlyMean,Mean,1.65002
2,69,D24HourMean,QuarterlyMean,Mean,1.64591
2,70,D24HourMean,QuarterlyMean,Mean,1.63545
2,71,D24HourMean,QuarterlyMean,Mean,1.63035
2,72,D24HourMean,QuarterlyMean,Mean,1.63506
2,73,D24HourMean,QuarterlyMean,Mean,1.63909
2,74,D24HourMean,QuarterlyMean,Mean,1.64474
2,75,D24HourMean,QuarterlyMean,Mean,1.65022
2,76,D24HourMean,QuarterlyMean,Mean,1.65867
2,77,D24HourMean,QuarterlyMean,Mean,1.66326
2,78,D24HourMean,QuarterlyMean,Mean,1.66864
2,79,D24HourMean,QuarterlyMean,Mean,1.66511
2,80,D24HourMean,QuarterlyMean,Mean,1.65273
2,81,D24HourMean,QuarterlyMean,Mean,1.64921
2,82,D24HourMean,QuarterlyMean,Mean,1.64908
2,83,D24HourMean,QuarterlyMean,Mean,1.64929
2,84,D24HourMean,QuarterlyMean,Mean,1.64543
2,85,D24HourMean,QuarterlyMean,Mean,1.64065
2,86,D24HourMean,QuarterlyMean,Mean,1.63642
2,87,D24HourMean,QuarterlyMean,Mean,1.62585
2,88,D24HourMean,QuarterlyMean,Mean,1.62004
2,89,D24HourMean,QuarterlyMean,Mean,1.61593
2,90,D24HourMean,QuarterlyMean,Mean,1.60882
2,91,D24HourMean,QuarterlyMean,Mean,1.60183
2,92,D24HourMean,QuarterlyMean,Mean,1.59857
2,93,D24HourMean,QuarterlyMean,Mean,1.59773
2,94,D24HourMean,QuarterlyMean,Mean,1.59903
2,95,D24HourMean,QuarterlyMean,Mean,1.59767
2,96,D24HourMean,QuarterlyMean,Mean,1.59485
2,97,D24HourMean,QuarterlyMean,Mean,1.59455
2,98,D24HourMean,QuarterlyMean,Mean,1.58884
2,99,D24HourMean,QuarterlyMean,Mean,1.58187
2,100,D24HourMean,QuarterlyMean,Mean,1.59734
2,101,D24HourMean,QuarterlyMean,Mean,1.58526
2,102,D24HourMean,QuarterlyMean,Mean,1.56985
2,103,D24HourMean,QuarterlyMean,Mean,1.551
2,104,D24HourMean,QuarterlyMean,Mean,1.5402
2,105,D24HourMean,QuarterlyMean,Mean,1.53549
2,106,D24HourMean,QuarterlyMean,Mean,1.53249
2,107,D24HourMean,QuarterlyMean,Mean,1.52587
2,108,D24HourMean,QuarterlyMean,Mean,1.51775
2,109,D24HourMean,QuarterlyMean,Mean,1.51246
2,110,D24HourMean,QuarterlyMean,Mean,1.49491
2,111,D24HourMean,QuarterlyMean,Mean,1.46602
2,112,D24HourMean,QuarterlyMean,Mean,1.40021
3,1,D24HourMean,QuarterlyMean,Mean,1.00694
3,2,D24HourMean,QuarterlyMean,Mean,0.99565
3,3,D24HourMean,QuarterlyMean,Mean,0.981382
3,4,D24HourMean,QuarterlyMean,Mean,0.98052
3,5,D24HourMean,QuarterlyMean,Mean,0.976023
3,6,D24HourMean,QuarterlyMean,Mean,0.976635
3,7,D24HourMean,QuarterlyMean,Mean,0.983744
3,8,D24HourMean,QuarterlyMean,Mean,0.994783
3,9,D24HourMean,QuarterlyMean,Mean,1.01035
3,10,D24HourMean,QuarterlyMean,Mean,1.02661
3,11,D24HourMean,QuarterlyMean,Mean,1.04117
3,12,D24HourMean,QuarterlyMean,Mean,1.05788
3,13,D24HourMean,QuarterlyMean,Mean,1.07391
3,14,D24HourMean,QuarterlyMean,Mean,1.08896
3,15,D24HourMean,QuarterlyMean,Mean,1.10408
3,16,D24HourMean,QuarterlyMean,Mean,1.1173
3,17,D24HourMean,QuarterlyMean,Mean,1.12897
3,18,D24HourMean,QuarterlyMean,Mean,1.13792
3,19,D24HourMean,QuarterlyMean,Mean,1.14624
3,20,D24HourMean,QuarterlyMean,Mean,1.15279
3,21,D24HourMean,QuarterlyMean,Mean,1.16302
3,22,D24HourMean,QuarterlyMean,Mean,1.17423
3,23,D24HourMean,QuarterlyMean,Mean,1.18417
3,24,D24HourMean,QuarterlyMean,Mean,1.19544
3,25,D24HourMean,QuarterlyMean,Mean,1.20768
3,26,D24HourMean,QuarterlyMean,Mean,1.21707
3,27,D24HourMean,QuarterlyMean,Mean,1.2269
3,28,D24HourMean,QuarterlyMean,Mean,1.23824
3,29,D24HourMean,QuarterlyMean,Mean,1.25462
3,30,D24HourMean,QuarterlyMean,Mean,1.27116
3,31,D24HourMean,QuarterlyMean,Mean,1.28568
3,32,D24HourMean,QuarterlyMean,Mean,1.29114
3,33,D24HourMean,QuarterlyMean,Mean,1.29631
3,34,D24HourMean,QuarterlyMean,Mean,1.30237
3,35,D24HourMean,QuarterlyMean,Mean,1.31198
3,36,D24HourMean,QuarterlyMean,Mean,1.32283
3,37,D24HourMean,QuarterlyMean,Mean,1.33578
3,38,D24HourMean,QuarterlyMean,Mean,1.34894
3,39,D24HourMean,QuarterlyMean,Mean,1.36525
3,40,D24HourMean,QuarterlyMean,Mean,1.38727
3,41,D24HourMean,QuarterlyMean,Mean,1.40692
3,42,D24HourMean,QuarterlyMean,Mean,1.42555
3,43,D24HourMean,QuarterlyMean,Mean,1.44316
3,44,D24HourMean,QuarterlyMean,Mean,1.45691
3,45,D24HourMean,QuarterlyMean,Mean,1.47065
3,46,D24HourMean,QuarterlyMean,Mean,1.477
3,47,D24HourMean,QuarterlyMean,Mean,1.47953
3,48,D24HourMean,QuarterlyMean,Mean,1.49637
3,49,D24HourMean,QuarterlyMean,Mean,1.50697
3,50,D24HourMean,QuarterlyMean,Mean,1.51921
3,51,D24HourMean,QuarterlyMean,Mean,1.52929
3,52,D24HourMean,QuarterlyMean,Mean,1.54826
3,53,D24HourMean,QuarterlyMean,Mean,1.56572
3,54,D24HourMean,QuarterlyMean,Mean,1.57007
3,55,D24HourMean,QuarterlyMean,Mean,1.57746
3,56,D24HourMean,QuarterlyMean,Mean,1.58381
3,57,D24HourMean,QuarterlyMean,Mean,1.59482
3,58,D24HourMean,QuarterlyMean,Mean,1.60561
3,59,D24HourMean,QuarterlyMean,Mean,1.61445
3,60,D24HourMean,QuarterlyMean,Mean,1.62487
3,61,D24HourMean,QuarterlyMean,Mean,1.63238
3,62,D24HourMean,QuarterlyMean,Mean,1.63702
3,63,D24HourMean,QuarterlyMean,Mean,1.64598
3,64,D24HourMean,QuarterlyMean,Mean,1.65693
3,65,D24HourMean,QuarterlyMean,Mean,1.67125
3,66,D24HourMean,QuarterlyMean,Mean,1.66542
3,67,D24HourMean,QuarterlyMean,Mean,1.65934
3,68,D24HourMean,QuarterlyMean,Mean,1.6511
3,69,D24HourMean,QuarterlyMean,Mean,1.6405
3,70,D24HourMean,QuarterlyMean,Mean,1.62885
3,71,D24HourMean,QuarterlyMean,Mean,1.61574
3,72,D24HourMean,QuarterlyMean,Mean,1.61279
3,73,D24HourMean,QuarterlyMean,Mean,1.62177
3,74,D24HourMean,QuarterlyMean,Mean,1.63631
3,75,D24HourMean,QuarterlyMean,Mean,1.64842
3,76,D24HourMean,QuarterlyMean,Mean,1.65684
3,77,D24HourMean,QuarterlyMean,Mean,1.66084
3,78,D24HourMean,QuarterlyMean,Mean,1.66216
3,79,D24HourMean,QuarterlyMean,Mean,1.64481
3,80,D24HourMean,QuarterlyMean,Mean,1.62576
3,81,D24HourMean,QuarterlyMean,Mean,1.62235
3,82,D24HourMean,QuarterlyMean,Mean,1.62225
3,83,D24HourMean,QuarterlyMean,Mean,1.62371
3,84,D24HourMean,QuarterlyMean,Mean,1.62592
3,85,D24HourMean,QuarterlyMean,Mean,1.62455
3,86,D24HourMean,QuarterlyMean,Mean,1.6176
3,87,D24HourMean,QuarterlyMean,Mean,1.60918
3,88,D24HourMean,QuarterlyMean,Mean,1.60179
3,89,D24HourMean,QuarterlyMean,Mean,1.59174
3,90,D24HourMean,QuarterlyMean,Mean,1.58061
3,91,D24HourMean,QuarterlyMean,Mean,1.5763
3,92,D24HourMean,QuarterlyMean,Mean,1.57611
3,93,D24HourMean,QuarterlyMean,Mean,1.57718
3,94,D24HourMean,QuarterlyMean,Mean,1.57615
3,95,D24HourMean,QuarterlyMean,Mean,1.56948
3,96,D24HourMean,QuarterlyMean,Mean,1.56857
3,97,D24HourMean,QuarterlyMean,Mean,1.5631
3,98,D24HourMean,QuarterlyMean,Mean,1.55838
3,99,D24HourMean,QuarterlyMean,Mean,1.55766
3,100,D24HourMean,QuarterlyMean,Mean,1.58877
3,101,D24HourMean,QuarterlyMean,Mean,1.55697
3,102,D24HourMean,QuarterlyMean,Mean,1.53975
3,103,D24HourMean,QuarterlyMean,Mean,1.51997
3,104,D24HourMean,QuarterlyMean,Mean,1.51437
3,105,D24HourMean,QuarterlyMean,Mean,1.50853
3,106,D24HourMean,QuarterlyMean,Mean,1.50406
3,107,D24HourMean,QuarterlyMean,Mean,1.49539
3,108,D24HourMean,QuarterlyMean,Mean,1.48505
3,109,D24HourMean,QuarterlyMean,Mean,1.4757
3,110,D24HourMean,QuarterlyMean,Mean,1.45431
3,111,D24HourMean,QuarterlyMean,Mean,1.4233
3,112,D24HourMean,QuarterlyMean,Mean,1.36569
4,1,D24HourMean,QuarterlyMean,Mean,1.0061
4,2,D24HourMean,QuarterlyMean,Mean,0.998218
4,3,D24HourMean,QuarterlyMean,Mean,0.9897
4,4,D24HourMean,QuarterlyMean,Mean,0.982676
4,5,D24HourMean,QuarterlyMean,Mean,0.978602
4,6,D24HourMean,QuarterlyMean,Mean,0.979535
4,7,D24HourMean,QuarterlyMean,Mean,0.981865
4,8,D24HourMean,QuarterlyMean,Mean,0.990361
4,9,D24HourMean,QuarterlyMean,Mean,1.00064
4,10,D24HourMean,QuarterlyMean,Mean,1.01517
4,11,D24HourMean,QuarterlyMean,Mean,1.03048
4,12,D24HourMean,QuarterlyMean,Mean,1.04537
4,13,D24HourMean,QuarterlyMean,Mean,1.05891
4,14,D24HourMean,QuarterlyMean,Mean,1.07043
4,15,D24HourMean,QuarterlyMean,Mean,1.08092
4,16,D24HourMean,QuarterlyMean,Mean,1.09119
4,17,D24HourMean,QuarterlyMean,Mean,1.10111
4,18,D24HourMean,QuarterlyMean,Mean,1.11123
4,19,D24HourMean,QuarterlyMean,Mean,1.12137
4,20,D24HourMean,QuarterlyMean,Mean,1.12991
4,21,D24HourMean,QuarterlyMean,Mean,1.13984
4,22,D24HourMean,QuarterlyMean,Mean,1.15254
4,23,D24HourMean,QuarterlyMean,Mean,1.16361
4,24,D24HourMean,QuarterlyMean,Mean,1.17483
4,25,D24HourMean,QuarterlyMean,Mean,1.18968
4,26,D24HourMean,QuarterlyMean,Mean,1.19771
4,27,D24HourMean,QuarterlyMean,Mean,1.20819
4,28,D24HourMean,QuarterlyMean,Mean,1.21616
4,29,D24HourMean,QuarterlyMean,Mean,1.22547
4,30,D24HourMean,QuarterlyMean,Mean,1.23904
4,31,D24HourMean,QuarterlyMean,Mean,1.25163
4,32,D24HourMean,QuarterlyMean,Mean,1.25897
4,33,D24HourMean,QuarterlyMean,Mean,1.26617
4,34,D24HourMean,QuarterlyMean,Mean,1.2741
4,35,D24HourMean,QuarterlyMean,Mean,1.28123
4,36,D24HourMean,QuarterlyMean,Mean,1.29129
4,37,D24HourMean,QuarterlyMean,Mean,1.30436
4,38,D24HourMean,QuarterlyMean,Mean,1.31667
4,39,D24HourMean,QuarterlyMean,Mean,1.33264
4,40,D24HourMean,QuarterlyMean,Mean,1.34917
4,41,D24HourMean,QuarterlyMean,Mean,1.36816
4,42,D24HourMean,QuarterlyMean,Mean,1.38784
4,43,D24HourMean,QuarterlyMean,Mean,1.40642
4,44,D24HourMean,QuarterlyMean,Mean,1.41804
4,45,D24HourMean,QuarterlyMean,Mean,1.43053
4,46,D24HourMean,QuarterlyMean,Mean,1.43589
4,47,D24HourMean,QuarterlyMean,Mean,1.44339
4,48,D24HourMean,QuarterlyMean,Mean,1.46662
4,49,D24HourMean,QuarterlyMean,Mean,1.48088
4,50,D24HourMean,QuarterlyMean,Mean,1.49519
4,51,D24HourMean,QuarterlyMean,Mean,1.50584
4,52,D24HourMean,QuarterlyMean,Mean,1.51992
4,53,D24HourMean,QuarterlyMean,Mean,1.53219
4,54,D24HourMean,QuarterlyMean,Mean,1.53936
4,55,D24HourMean,QuarterlyMean,Mean,1.55603
4,56,D24HourMean,QuarterlyMean,Mean,1.56575
4,57,D24HourMean,QuarterlyMean,Mean,1.57677
4,58,D24HourMean,QuarterlyMean,Mean,1.58402
4,59,D24HourMean,QuarterlyMean,Mean,1.5943
4,60,D24HourMean,QuarterlyMean,Mean,1.60604
4,61,D24HourMean,QuarterlyMean,Mean,1.61482
4,62,D24HourMean,QuarterlyMean,Mean,1.627
4,63,D24HourMean,QuarterlyMean,Mean,1.63869
4,64,D24HourMean,QuarterlyMean,Mean,1.64989
4,65,D24HourMean,QuarterlyMean,Mean,1.66016
4,66,D24HourMean,QuarterlyMean,Mean,1.66368
4,67,D24HourMean,QuarterlyMean,Mean,1.66477
4,68,D24HourMean,QuarterlyMean,Mean,1.6577
4,69,D24HourMean,QuarterlyMean,Mean,1.64285
4,70,D24HourMean,QuarterlyMean,Mean,1.62841
4,71,D24HourMean,QuarterlyMean,Mean,1.60605
4,72,D24HourMean,QuarterlyMean,Mean,1.60363
4,73,D24HourMean,QuarterlyMean,Mean,1.60391
4,74,D24HourMean,QuarterlyMean,Mean,1.61323
4,75,D24HourMean,QuarterlyMean,Mean,1.62354
4,76,D24HourMean,QuarterlyMean,Mean,1.63603
4,77,D24HourMean,QuarterlyMean,Mean,1.64912
4,78,D24HourMean,QuarterlyMean,Mean,1.64034
4,79,D24HourMean,QuarterlyMean,Mean,1.61997
4,80,D24HourMean,QuarterlyMean,Mean,1.60271
4,81,D24HourMean,QuarterlyMean,Mean,1.59578
4,82,D24HourMean,QuarterlyMean,Mean,1.58995
4,83,D24HourMean,QuarterlyMean,Mean,1.59217
4,84,D24HourMean,QuarterlyMean,Mean,1.59608
4,85,D24HourMean,QuarterlyMean,Mean,1.59761
4,86,D24HourMean,QuarterlyMean,Mean,1.59602
4,87,D24HourMean,QuarterlyMean,Mean,1.59326
4,88,D24HourMean,QuarterlyMean,Mean,1.58246
4,89,D24HourMean,QuarterlyMean,Mean,1.57007
4,90,D24HourMean,QuarterlyMean,Mean,1.55874
4,91,D24HourMean,QuarterlyMean,Mean,1.5524
4,92,D24HourMean,QuarterlyMean,Mean,1.55319
4,93,D24HourMean,QuarterlyMean,Mean,1.55594
4,94,D24HourMean,QuarterlyMean,Mean,1.553
4,95,D24HourMean,QuarterlyMean,Mean,1.5451
4,96,D24HourMean,QuarterlyMean,Mean,1.54368
4,97,D24HourMean,QuarterlyMean,Mean,1.53805
4,98,D24HourMean,QuarterlyMean,Mean,1.53088
4,99,D24HourMean,QuarterlyMean,Mean,1.54577
4,100,D24HourMean,QuarterlyMean,Mean,1.55491
4,101,D24HourMean,QuarterlyMean,Mean,1.52101
4,102,D24HourMean,QuarterlyMean,Mean,1.50249
4,103,D24HourMean,QuarterlyMean,Mean,1.49066
4,104,D24HourMean,QuarterlyMean,Mean,1.48386
4,105,D24HourMean,QuarterlyMean,Mean,1.47671
4,106,D24HourMean,QuarterlyMean,Mean,1.46919
4,107,D24HourMean,QuarterlyMean,Mean,1.45975
4,108,D24HourMean,QuarterlyMean,Mean,1.44935
4,109,D24HourMean,QuarterlyMean,Mean,1.43954
4,110,D24HourMean,QuarterlyMean,Mean,1.42043
4,111,D24HourMean,QuarterlyMean,Mean,1.39267
4,112,D24HourMean,QuarterlyMean,Mean,1.34603
5,1,D24HourMean,QuarterlyMean,Mean,1.00473
5,2,D24HourMean,QuarterlyMean,Mean,0.996778
5,3,D24HourMean,QuarterlyMean,Mean,0.987395
5,4,D24HourMean,QuarterlyMean,Mean,0.979736
5,5,D24HourMean,QuarterlyMean,Mean,0.975578
5,6,D24HourMean,QuarterlyMean,Mean,0.975155
5,7,D24HourMean,QuarterlyMean,Mean,0.97809
5,8,D24HourMean,QuarterlyMean,Mean,0.982007
5,9,D24HourMean,QuarterlyMean,Mean,0.98824
5,10,D24HourMean,QuarterlyMean,Mean,0.99826
5,11,D24HourMean,QuarterlyMean,Mean,1.01172
5,12,D24HourMean,QuarterlyMean,Mean,1.0268
5,13,D24HourMean,QuarterlyMean,Mean,1.04159
5,14,D24HourMean,QuarterlyMean,Mean,1.05112
5,15,D24HourMean,QuarterlyMean,Mean,1.05912
5,16,D24HourMean,QuarterlyMean,Mean,1.06656
5,17,D24HourMean,QuarterlyMean,Mean,1.07555
5,18,D24HourMean,QuarterlyMean,Mean,1.08699
5,19,D24HourMean,QuarterlyMean,Mean,1.09714
5,20,D24HourMean,QuarterlyMean,Mean,1.10624
5,21,D24HourMean,QuarterlyMean,Mean,1.11777
5,22,D24HourMean,QuarterlyMean,Mean,1.13168
5,23,D24HourMean,QuarterlyMean,Mean,1.14462
5,24,D24HourMean,QuarterlyMean,Mean,1.15668
5,25,D24HourMean,QuarterlyMean,Mean,1.16969
5,26,D24HourMean,QuarterlyMean,Mean,1.17736
5,27,D24HourMean,QuarterlyMean,Mean,1.18731
5,28,D24HourMean,QuarterlyMean,Mean,1.1962
5,29,D24HourMean,QuarterlyMean,Mean,1.20113
5,30,D24HourMean,QuarterlyMean,Mean,1.21033
5,31,D24HourMean,QuarterlyMean,Mean,1.21926
5,32,D24HourMean,QuarterlyMean,Mean,1.2289
